WZ11CD,BNGEAST,BNGNORTH,LONGITUDE,LATITUDE
E33020083,413862,291064,-1.797145401,52.51728763
E33021833,328985,329189,-3.056087871,52.85549383
E33020003,411801,294520,-1.827406523,52.54840561
E33020082,415437,291525,-1.773915007,52.52138779
E33021830,328495,329275,-3.063385517,52.85619551
E33020000,407457,295456,-1.891444725,52.55689772
E33020081,414388,290800,-1.789409375,52.51489508
E33021831,328959,329798,-3.056610226,52.86095888
E33020001,411811,295087,-1.827238155,52.55349875
E33020080,414153,291533,-1.79284945,52.52149816
E33020216,403276,286797,-1.953186883,52.47909037
E33020297,415800,284718,-1.76889619,52.46018344
E33020217,402537,286362,-1.964078992,52.47518648
E33020296,400944,284135,-1.98752929,52.45517024
E33020214,410081,286838,-1.852997028,52.47937811
E33020295,400005,284674,-2.00135293,52.46000944
E33020215,410260,286658,-1.85036008,52.47775204
E33020294,399900,284199,-2.002894511,52.45573923
E33020212,415687,286456,-1.770466949,52.47581016
E33020293,400455,284252,-1.994728251,52.45621906
E33020213,411098,286872,-1.838023327,52.47966464
E33020292,399367,284749,-2.010742392,52.46068463
E33021838,330677,330931,-3.0313394,52.87137012
E33020008,409941,294071,-1.854850162,52.54440739
E33020089,410606,291360,-1.845125426,52.520018
E33020210,415714,287288,-1.770042637,52.48329205
E33020291,400506,284826,-1.993985251,52.46137775
E33021839,333198,331010,-2.993904931,52.87239544
E33020009,409438,295305,-1.862223869,52.55550121
E33020088,410652,290837,-1.844458138,52.51532043
E33020211,415248,286920,-1.776909863,52.47999324
E33020290,406117,284279,-1.911413377,52.45642532
E33020218,403062,286171,-1.956344051,52.47345946
E33020299,415023,284184,-1.780355526,52.45540459
E33020219,403075,286585,-1.956155761,52.47718159
E33020298,414095,284204,-1.794012744,52.4556118
E33018276,409717,286490,-1.858371881,52.47625102
E33018277,409477,285968,-1.861907391,52.47156473
E33018274,409914,284018,-1.855538542,52.45402887
E33018275,411810,286676,-1.827538992,52.47788599
E33018272,410544,283961,-1.84627523,52.45350719
E33018273,409731,284212,-1.858229723,52.45577198
E33018270,409980,284712,-1.854547326,52.46027022
E33018271,410547,284979,-1.846196062,52.46265445
E33018446,389900,284693,-2.150074659,52.46009239
E33018447,390045,284303,-2.147931917,52.45658674
E33018444,394181,289602,-2.087149922,52.50428377
E33018445,393920,289675,-2.091001355,52.50493319
E33018442,394452,290087,-2.083172485,52.50864671
E33018443,394156,289996,-2.087526908,52.50782762
E33018278,403002,290098,-1.957192988,52.50876434
E33018440,394886,290095,-2.076774772,52.50872363
E33018279,404602,289517,-1.933634953,52.50353635
E33018441,394917,289960,-2.076315499,52.50750603
E33018656,404375,300794,-1.936834015,52.60491286
E33018657,403870,300733,-1.944287505,52.60437018
E33018654,397305,295436,-2.041177516,52.55675838
E33018655,404119,300968,-1.940616329,52.60648058
E33018652,404570,305579,-1.933888768,52.64792718
E33018653,404759,305372,-1.931098502,52.64606725
E33018448,390066,284534,-2.147632741,52.45866178
E33018650,405492,306093,-1.920253977,52.65254028
E33018449,397404,286340,-2.039650896,52.47498724
E33018651,405585,305958,-1.918882898,52.65132482
E33019056,397803,308227,-2.033929566,52.67174578
E33019057,397898,308515,-2.032525937,52.67433925
E33019054,398394,309145,-2.025187275,52.67999787
E33019055,397993,308705,-2.031114939,52.67604496
E33019052,398185,310029,-2.028287118,52.68795071
E33019053,398365,310049,-2.02562079,52.68812581
E33019050,398062,310201,-2.030112916,52.68948976
E33018658,404714,301026,-1.931816394,52.60699501
E33019051,398043,310085,-2.030391362,52.68845378
E33018659,404887,301048,-1.929263684,52.6071963
E33019226,420629,304034,-1.696626091,52.63366861
E33019227,419800,303592,-1.708897095,52.62972346
E33019225,420843,304049,-1.693470267,52.63379811
E33019222,420706,303977,-1.695487521,52.63315307
E33019223,420849,303922,-1.693383814,52.63265577
E33019058,397739,308748,-2.034874977,52.67642626
E33019220,420840,304173,-1.693496037,52.63491533
E33019059,398426,308722,-2.024714244,52.67620001
E33019221,420587,304148,-1.697242588,52.63469957
E33019436,395006,266639,-2.074655395,52.29784878
E33019437,400189,268953,-1.998651263,52.31867764
E33019434,395759,268496,-2.063639838,52.31455674
E33019435,395681,268314,-2.06477447,52.31291786
E33019432,395255,266818,-2.071005531,52.29946483
E33019433,395451,268608,-2.068146904,52.31555744
E33019430,395884,270707,-2.061832542,52.33442845
E33019228,419243,303466,-1.717133869,52.62861122
E33019431,395888,270633,-2.061771089,52.33376299
E33019229,419931,303380,-1.706980434,52.62781494
E33019606,391718,298373,-2.123665241,52.58310372
E33019687,325961,248400,-3.083001656,52.12892892
E33019607,391531,298589,-2.126425259,52.58504093
